Rio Ave FC;Portugal;4;false;false;false
Gil Vicente FC;Portugal;2,5;false;false;false
CD Santa Clara;Portugal;2,5;false;false;false
FC Paços de Ferreira;Portugal;2,5;false;false;false
Žalgiris Wilno;Lithuania;11;false;false;false
HJK;Finland;11;false;false;false
FCSB Bukareszt;Romania;11;false;false;false
Legia Warszawa;Poland;11;false;false;false
Rosenborg BK;Norway;11;false;false;false
AEK (Ateny);Greece;11;false;false;false
FC Spartak Trnava;Slovakia;10,5;false;false;false
FC Flora Tallin;Estonia;10,5;false;false;false
AEK (Larnaka);Cyprus;10;false;false;false
AS Omónia Lefkossías;Cyprus;10;false;false;false
FC Zürich;Switzerland;10;false;false;false
Football 1991 Dudelange;Luxembourg;10;false;false;false
Riga FC;Latvia;10;false;false;false
Sūduva Marijampolė;Lithuania;10;false;false;false
NK Maribor;Slovenia;9,5;false;false;false
Brøndbyernes IF;Denmark;9,5;false;false;false
Kuopion Palloseura;Finland;9,5;false;false;false
FK Škendija 79 (Tetovo);North Macedonia;9,5;false;false;false
Shamrock Rovers FC;Ireland;9;false;false;false
HNK Hajduk (Split);Croatia;9;false;false;false
Universitatea Craiova;Romania;9;false;false;false
Neftçı Baku;Azerbaijan;9;false;false;false
Kajrat Ałmaty;Kazakhstan;9;false;false;false
The New Saints FC;Wales;9;false;false;false
NK Olimpija (Lublana);Slovenia;9;false;false;false
Linfield FC;Northern Ireland;8,5;false;false;false
FC Vaduz;Liechtenstein;8,5;false;false;false
HŠK Zrinjski (Mostar);Bosnia;8,5;false;false;false
FC DAC 1904 Dunajská Streda;Slovakia;8,5;false;false;false
Lincoln Red Imps FC;Gibraltar;8,5;false;false;false
Dundalk FC;Ireland;8,5;false;false;false
Royal Charleroi SC;Belgium;2,5;false;false;false
Dnipro-1 Dniepropietrowsk;Ukraine;8;false;false;false
Pjunik Erewan;Armenia;8;false;false;false
Szachtior Soligorsk;Belarus;8;false;false;false
KÍ Klaksvík;Faroe Islands;8;false;false;false
NK Osijek;Croatia;8;false;false;false
Alaszkert Erewan;Armenia;8;false;false;false
AS Anórthossis Ammochóstou;Cyprus;8;false;false;false
Aberdeen FC;Scotland;8;false;false;false
KF Laçi;Armenia;7,5;false;false;false
FK Budućnost (Podgorica);Montenegro;7,5;false;false;false
FK Sutjeska (Nikšić);Montenegro;7,5;false;false;false
CS Fola Esch;Luxembourg;7,5;false;false;false
Dinamo Tbilisi;Georgia;7,5;false;false;false
Heart of Midlothian FC;Scotland;4;false;false;false
Hibernian FC;Scotland;4;false;false;false
Motherwell FC;Scotland;3,5;false;false;false
Saint Johnstone FC;Scotland;2,5;false;false;false
Dundee United FC;Scotland;2;false;false;false
Kilmarnock FC;Scotland;1;false;false;false
FK Škupi (Skopje);North Macedonia;7;false;false;false
AS Áris (Saloniki);Greece;7;false;false;false
NŠ Mura (Murska Sobota);Slovenia;7;false;false;false
Randers FC;Denmark;7;false;false;false
FK Sarajevo;Bosnia;7;false;false;false
FK Austria Wiedeń;Austria;6;false;false;false
TSV Hartberg;Austria;1,5;false;false;false
FC Admira Wacker Mödling;Austria;1,5;false;false;false
